seminar_id,region,Seminars
621ffbf9dd873bf8f5edf8c954cf54a6,Northeast,2
621ffbf9dd873bf8f5edf8c954cf54a6,South,1
621ffbf9dd873bf8f5edf8c954cf54a6,West,3
62a3af386f7d7f7eff471df9f58fa967,West,1
62b38a69d3feef229562d815be4e9204,South,1
62d1811c349a4d6b6923b3fc994df31a,Midwest,1
62e9d4c3151554a136093472a872f0a5,West,1
64161da5d35fc66a18c6792a8b663de7,South,1
64525303acd93414ce1a15f907d5bcb6,Northeast,1
64525303acd93414ce1a15f907d5bcb6,West,2
64634aaab7cb1c9d421728f73fd4ce8c,Northeast,1
64634aaab7cb1c9d421728f73fd4ce8c,South,1
64b70c4bcf71bc895b3f05c2f7510af1,Northeast,1
64bbf141427a42022fdc7e7635a48d76,West,4
6529d18caae6215bd351484776b0e4fc,Midwest,1
658577be22e4390ef0bb783858858b6d,Northeast,2
65a00158564760ca35239f2edc55a366,Midwest,1
65a00158564760ca35239f2edc55a366,South,2
660d38eea67a4c365d88678e2da151f1,Northeast,1
66c17b0317ab309d8781f8253dfec608,South,2
66c17b0317ab309d8781f8253dfec608,West,1
67ca1d48f03362d7683801155f737944,South,3
67ca1d48f03362d7683801155f737944,West,2
682e51c923649372ac248653247b07b4,Northeast,2
682e51c923649372ac248653247b07b4,West,8
695d9a2aa6d39a305c7be7112865051c,Midwest,1
695d9a2aa6d39a305c7be7112865051c,West,1
69b5058c1858b9124807d3d39db87a52,South,1
69e3df66e4d5110e8ba71baae1654abe,Northeast,1
69e3df66e4d5110e8ba71baae1654abe,West,2
69e3df66e4d5110e8ba71baae1654abe,NA,1
69ef4fb09e416ae521ba2625d8455bb5,Northeast,1
69ef4fb09e416ae521ba2625d8455bb5,South,1
69ef4fb09e416ae521ba2625d8455bb5,West,1
6a719027f4cbdd6e1d0b7cabde12a424,Midwest,1
6a719027f4cbdd6e1d0b7cabde12a424,Northeast,4
6a719027f4cbdd6e1d0b7cabde12a424,South,1
6a719027f4cbdd6e1d0b7cabde12a424,West,1
6a719027f4cbdd6e1d0b7cabde12a424,NA,1
6ae80d80c74dac47c857a047ab529fe0,Midwest,1
6af9a4db8ede728985b2753b6331d969,Northeast,2
6af9a4db8ede728985b2753b6331d969,West,1
6b198e5b8b6fd0de0bf79117498baf44,Northeast,1
6b198e5b8b6fd0de0bf79117498baf44,West,1
6b6813fc0a1373900e1074a8c882ef32,West,1
6b6813fc0a1373900e1074a8c882ef32,NA,2
6c4017438068f9f261888ace67fff341,Northeast,2
6c4017438068f9f261888ace67fff341,West,1
6c9c571694428bae460d660e1d2953cb,West,1
6d28a4ddc5cda879a7270d4b291738a9,South,1
6d983231c00aef84524d2df39657f985,Northeast,1
6da8837c697aa85e943775d75052c88f,South,2
6dd1e855ca333febcc5cb3e2b7d6f3aa,West,1
6dd1e855ca333febcc5cb3e2b7d6f3aa,NA,2
6e2dae7037703138527ea87400d0f33d,South,1
6e67d1233f4c665b715e3743e6ca730a,South,1
6e6ecb19702d73a9213d5b970b6ab18d,Midwest,1
6e6ecb19702d73a9213d5b970b6ab18d,South,2
6e6ecb19702d73a9213d5b970b6ab18d,NA,1
6e794680ac551134e56a8042d8627c5e,Northeast,1
6ee6dad0254b0e094298905f85a47111,West,3
6ee6dad0254b0e094298905f85a47111,NA,1
6efeff9e3489a5aeee9e2f74a19d0c74,West,2
6f0a5af15ad6f52819d6d472b1bf5498,West,1
6f6a5a2432d3d0ca8fa1e0e2fad95358,Northeast,2
7016edcc48f8ef27dde4a30001365aba,West,1
